ID,MENU,PRICE,NAME,DESCRIPTION
178,11,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
179,11,0.00,"F6. *CANTONESE CHOW MEIN","Crispy or soft egg noodles with vegetables in garlic sauce"
180,11,12.00,"A) Tofu and Vegetable",
181,11,12.00,"B) Chicken",
182,11,12.00,"C) Beef",
183,11,13.00,"D) Tiger Shrimp",
184,11,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
185,11,0.00,"F7. *STIR FRIED HO FUN","Thick rice noodles, mixed vegetables in mushroom soya sauce (egg)"
186,11,12.00,"A) Tofu and Vegetable",
187,11,12.00,"B) Chicken",
188,11,12.00,"C) Beef",
189,11,13.00,"D) Tiger Shrimp",
190,11,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
191,11,0.00,"F8. SHANGHAI NOODLES","Thick wheat noodles stir-fried in a mushroom soya sauce (egg)"
192,11,12.00,"A) Tofu and Vegetable",
193,11,12.00,"B) Chicken",
194,11,12.00,"C) Beef",
195,11,13.00,"D) Tiger Shrimp",
196,11,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
197,11,0.00,"F9. *SINGAPORE VEMICELLI","Thin rice noodles stir- fried in a curry paste (egg)"
198,11,12.00,"A) Tofu and Vegetable",
199,11,12.00,"B) Chicken",
200,11,12.00,"C) Beef",
201,11,13.00,"D) Tiger Shrimp",
208,11,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
209,11,12.00,"F10. * SWEET AND SOUR CHICKEN","Fresh pineapple, onions, green and red peppers glazed with sweet and sour sauce
 served w/ rice
"
210,11,12.00,"F11. CRISPY ORANGE BEEF OR CHICKEN","Fresh onions, green and red peppers glazed with a sweet honey house sauce served w/ rice
"
212,10,4.00,"B9. Bubble tea (with pearl) ","(Taro, Mango, Strawberry, Honeydew, Mint, Coconut)"
226,3,7.00,"SO7. HOT AND SOUR SOUP","-Bamboo shoots and mushrooms in mild eggs drop soup"
229,8,0.00,"T5. PINEAPPLE CURRY","Mixed vegetables, mushrooms, fresh pineapple in special home-made Thai curry"
230,8,12.00,"A) Tofu and Vegetable",
231,8,12.00,"B) Chicken",
232,8,12.00,"C) Beef",
233,8,13.00,"D) Tiger shrimp",
234,8,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
235,8,0.00,"T6. *BASIL THAI SPICY NOODLE","Thai rice noodle, egg, onions, carrots and basil leaves in soda sauce"
236,8,12.00,"A) Tofu and Vegetable",
237,8,12.00,"B) Chicken",
238,8,12.00,"C) Beef",
239,8,13.00,"D) Tiger shrimp",
240,8,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels",
251,9,6.00,"D3. Mango Sticky Rice",
252,9,4.00,"D4. Tropical Ice Cream (Mango or Cherry Or Chocolate)",
273,8,0.00,"T7. *THAI FRIED RICE","Thai fried rice w/ pineapples, cashew nuts, green bean and tomato sauce (egg)"
274,8,12.00,"A) Tofu and Vegetable",
275,8,12.00,"B) Chicken",
276,8,12.00,"C) Beef",
277,8,13.00,"D) Tiger Shrimp",
278,8,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
279,8,0.00,"T8. PAD SEW","Stir fried thick rice noodle w/ mixed vegetable in mushroom soya sauce"
280,8,12.00,"A) Tofu and Vegetable",
281,8,12.00,"B) Chicken",
282,8,12.00,"C) Beef",
283,8,13.00,"D) Tiger Shrimp",
284,8,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
289,2,9.50,"S1. HOUSE MANGO SALAD","-Shrimp andchicken skewers served on top of fresh shredded mango mixed w/ onions, red/ green peppers and cashews tossed in tamarind vinaigrette"
290,2,8.50,"S2. LOTTUS SALAD","-Tiger shrimp, fresh lotus root, carrots and onions in house special sauce"
293,1,5.00,"A7. TOFU and VEGGIE FRESH ROLLS (2)","-Rice paper with crispy tofu, vegetables and vermicelli"
294,1,6.50,"A8. *CHICKEN SATAY SKEWERS (3) ","-Marinated with Thai spices and grilled, served with peanut sauce"
295,1,7.00,"A9. BEEF SATAY SKEWERS (3)","-Marinated with Thai spices and grilled, served with peanut sauce"
296,1,7.00,"A10. COCONUT SHRIMP (6)","-Coconut marinated shrimp, golden fried and served with plum sauce"
297,1,6.50,"A9. BEEF SATAY SKEWERS (3)","-Marinated with Thai spices and grilled, served with peanut sauce"
298,1,7.00,"A10. SHRIMP SATAY SKEWERS (2)","-Marinated with Thai spices and grilled, served with peanut sauce"
299,1,6.00,"A11. CRISPY TIGER SHRIMPS (6)","-Crispy breaded tiger shrimps"
300,1,7.50,"A12. CRISPY CALAMARI","- Lightly seasoned crispy calamari"
301,1,5.00,"A13. CRISPY TOFU","-Crispy marinated tofu"
302,1,6.00,"A14. *CRISPY WONTON (8)","-Crispy marinated, stuffed chicken/ shrimp wontons"
303,1,8.50,"A15. MUSSELS WITH BLACK BEAN SAUCE","-Stir- fried and marinated with house spices"
304,1,8.00,"A16. CHICKEN WINGS (8)","-Deep-fried chicken wings served with sticky rice"
305,6,0.00,"P1. *House Special Rice Noodle Soup",
306,6,8.00,"A) Regular",
307,6,9.00,"B) Large",
308,6,0.00,"P2. House Special Satay Rice Noodle Soup",
309,6,8.00,"A) Regular",
310,6,9.00,"B) Large",
311,6,0.00,"P3. *Chicken Rice Noodle Soup",
312,6,8.00,"A) Regular",
313,6,9.00,"B) Large",
314,6,0.00,"P4. Chicken, Well Done Beef Rice Noodle Soup ",
315,6,8.00,"A) Regular",
316,6,9.00,"B) Large",
317,6,0.00,"P5. *Rare Beef Rice Noodle Soup",
318,6,8.00,"A) Regular",
319,6,9.00,"B) Large",
320,6,0.00,"P6. Rare Beef, Well Done Beef Rice Noodle Soup ",
321,6,8.00,"A) Regular",
322,6,9.00,"B) Large",
323,6,0.00,"P7. Rare Beef, Tripe Rice Noodle Soup ",
324,6,8.00,"A) Regular",
325,6,9.00,"B) Large",
326,6,0.00,"P8. Rare Beef, Beef Balls Rice Noodle Soup",
327,6,8.00,"A) Regular",
328,6,9.00,"B) Large",
329,6,0.00,"P9. Well Done Beef Rice Noodle Soup",
330,6,8.00,"A) Regular",
331,6,9.00,"B) Large",
332,6,0.00,"P10. *Well Done Beef, Tripe Rice Noodle Soup ",
333,6,8.00,"A) Regular",
334,6,9.00,"B) Large",
335,6,0.00,"P11. Well Done Beef, Beef Balls Rice Noodle Soup ",
336,6,8.00,"A) Regular",
337,6,9.00,"B) Large",
338,6,0.00,"P12. Rare Beef, Well Done Beef, Tripe Rice Noodle Soup ",
339,6,8.00,"A) Regular",
340,6,9.00,"B) Large",
341,6,0.00,"P13. Rare Beef, Well Done Beef, and Beef Balls Rice Noodle Soup ",
342,6,8.00,"A) Regular",
343,6,9.00,"B) Large",
344,6,0.00,"P14. Beef Balls Rice Noodle Soup",
345,6,8.00,"A) Regular",
346,6,9.00,"B) Large",
347,6,0.00,"P15. Vegetable Rice Noodle Soup (Chicken Broth)",
348,6,8.00,"A) Regular",
349,6,9.00,"B) Large",
350,4,10.00,"A) Beef ",
351,4,10.00,"B) Chicken",
354,7,12.00,"Zz2. *Sizzling Beef with Vegetables","(Your choice of: Satay sauce or black bean sauce)"
357,7,13.00,"Zz3. Sizzling Tiger Shrimp with Vegetables","(Your choice of: Satay sauce or black bean sauce)"
360,7,13.50,"Zz4. *Sizzling Seafood with Vegetables","(Your choice of: Satay sauce or black bean sauce)"
365,11,12.00,"F12. STIR FRIED LEMON GRASS WITH BEEF OR CHICKENandSPICY CHILI ","Stir fried mixed peppers with onions, lemongrass and hot chili"
368,2,7.50,"S3. *VEGGIE MANGO SALAD","-Fresh shredded mango mixed w/ onions, red/ green peppers 
     and cashews tossed with tamarind vinaigrette
"
369,2,8.00,"S4. *VIETNAMESE CABBAGE SALAD","-Chicken tossed with cabbage, carrot, green onion and peanut in Vietnamese spicy dressing"
371,8,12.00,"T9. THAI GINGER CHICKEN OR BEEF","Your choice of marinated chicken or beef sautéed in our sesame soy ginger sauce. Served with steam rice"
